term,estimate,std.error,statistic,p.value,conf.low,conf.high,estimator,spec,learner,z value,Pr(>|z|),yvar,constraint,instr
instr,-0.004462536273826375,0.003191056611923217,-1.3984509886638616,0.16197889851002978,-0.010716922033943404,0.0017918494862906543,tsls,first_stage,ols,NA,NA,workedm,FALSE,fake
D1,-1.5258671043565688,1.179669554512821,-1.2934699370000442,NA,-3.8380194312016984,0.7862852224885606,ddml,structural,nnls,-1.2934699370000442,0.19584857519418833,workedm,FALSE,fake
D1,-1.744447363027097,1.444108217429937,-1.2079755117879394,NA,-4.5748994691897735,1.0860047431355793,ddml,structural,custom_1,-1.2079755117879394,0.227056681859088,workedm,FALSE,fake
D1,2.0555439548647847,1.5457537137612323,1.3298004310551494,NA,-0.9741333241072305,5.0852212338367995,ddml,structural,custom_2,1.3298004310551494,0.18358403388965647,workedm,FALSE,fake
D1,-1.9290058508616905,1.6293648093747806,-1.1839005235432132,NA,-5.1225608772362605,1.2645491755128795,ddml,structural,custom_3,-1.1839005235432132,0.23645244291527426,workedm,FALSE,fake
D1,-1.3551203752555174,1.035161429870465,-1.3090908684890727,NA,-3.3840367778016285,0.6737960272905938,ddml,structural,custom_4,-1.3090908684890727,0.19050357206360446,workedm,FALSE,fake
Z_resid,-0.00460707074784905,0.003159860348690597,-1.457998214939517,0.14484226826912452,-0.010800312664026424,0.0015861711683283252,ddml,first_stage,nnls,NA,NA,workedm,FALSE,fake
Z_resid,-0.004129387303190317,0.0031440831405466344,-1.3133836220604447,0.18905489682213694,-0.010291706312651914,0.002032931706271281,ddml,first_stage,custom_1,NA,NA,workedm,FALSE,fake
Z_resid,0.0032227130875308184,0.0020405020112286474,1.5793726591773003,0.1142518468038868,-7.766163737291487e-4,0.007222042548790785,ddml,first_stage,custom_2,NA,NA,workedm,FALSE,fake
Z_resid,-0.003956222451204018,0.0031366548419441737,-1.2612871516178226,0.2072065640470361,-0.010103982193737978,0.0021915372913299423,ddml,first_stage,custom_3,NA,NA,workedm,FALSE,fake
Z_resid,-0.004851157619915158,0.003160306036271361,-1.5350277992819719,0.12477824202721703,-0.011045273071851117,0.0013429578320207991,ddml,first_stage,custom_4,NA,NA,workedm,FALSE,fake
